INM00043311  11.1167   72.7333    2.7    AMINIDIVI                      1973 2020  26612
INM00043333  11.6667   92.7167   79.0    PORT BLAIR                     1926 2023  51620
INM00043344  10.7667   78.7167   88.0    TIRUCHCHIRAPALLI               1938 2015  12933
INM00043346  10.9167   79.8333    6.9    KARAIKAL                       1973 2023  42812
INM00043353   9.9333   76.2333    1.0    COCHIN (IN-NAVY)               1967 2021  17106
INM00043368   9.1500   92.8100   10.0    USAF-DS3-279                   1940 1990   1627
INM00043369   8.3000   73.1500    0.9    MINICOY                        1965 2021  40887
INM00043371   8.4833   76.9500   59.9    THIRUVANANTHAPURAM             1928 2023  58666
INXUAC03369  22.7700   88.3700    0.0    BARAKPUR                       1944 1946    388
INXUAE05431  23.2800   69.6700   81.0    BHUJ                           1938 1942   1679
INXUAE05449  25.0500   73.8800  538.0    KANKROLI/RAJSAMAND             1938 1942   1612
INXUAE05454  20.5700   74.5300  431.0    MALEGAON                       1933 1942   2563
INXUAE05455   8.2800   73.0500    0.0    MALIKU                         1941 1942    574
INXUAE05457  12.9800   74.8800   95.0    MANGALORE/MANGALURU            1928 1942   3322
INXUAE05462  28.6300   77.2000  216.0    NEW DEHLI                      1938 1942   2068
INXUAE05466  21.4700   83.9800  153.0    SAMBALPUR                      1930 1942   4315
INXUAE05469  26.6700   92.8200   69.0    TEZPUR                         1928 1942   4754
INXUAE05473  15.8500   73.6300    5.0    VENGURLA                       1941 1942    121
INXUAE05784  26.4500   74.7300  490.0    AJMER                          1928 1934   3098
INXUAE05786  22.5300   88.4000   10.0    ALIPORE                        1929 1935   3679
INXUAE05794  15.1500   76.9500  470.0    BELLARY                        1933 1935    989
INXUAE05796  18.9000   72.8200   40.0    COLABA                         1933 1935    973
INXUAE05798  27.0500   88.3000 2270.0    DARJEELING                     1933 1933    116
INXUAE05800  22.1800   88.1800   10.0    DIAMOND HARBOUR                1926 1929   1268
INXUAE05822  25.7700   87.5200   40.0    PURNEA                         1933 1933    179
INXUAE05832  31.0800   77.1800 2130.0    SHIMLA                         1926 1928    728
INXUAE05834  24.8300   92.8500   40.0    SILCHAR                        1933 1935   1477
INXUAE05840  17.6800   83.3500   20.0    WALTAIR                        1928 1935   3498

